evaluations raw_y
1 0.9637625289
3 1.3340448239
8 1.9500780031
54 2.0798668885
142 2.1968365554
183 2.2281639929
203 2.4366471735
289 2.5987525988
611 2.8344671202
681 2.8868360277
782 2.9411764706
812 2.9976019185
830 3.1172069825
852 3.1806615776
1061 3.2467532468
1084 3.5410764873
5000 2.2935779817
evaluations raw_y
1 0.6271951831
2 1.2487512488
3 1.2794268168
7 1.3935340022
15 1.5299877601
44 1.6778523490
45 1.8142235123
54 1.9260400616
136 2.0000000000
152 2.1367521368
169 2.1968365554
212 2.7839643653
930 2.8344671202
1034 3.3156498674
2945 3.4626038781
3262 3.7091988131
5000 3.3156498674
evaluations raw_y
1 1.1649580615
2 1.2291052114
5 1.6425755585
11 1.8142235123
69 2.1367521368
85 2.1968365554
432 2.2603978300
474 3.2467532468
746 3.3156498674
893 3.3875338753
990 3.8940809969
1325 4.0983606557
5000 1.4188422247
evaluations raw_y
1 1.2690355330
4 1.3935340022
14 1.4450867052
15 2.1663778163
192 2.1968365554
214 2.2603978300
225 2.3277467412
265 2.7839643653
391 3.4626038781
953 4.0983606557
5000 2.5562372188
evaluations raw_y
1 1.4188422247
9 1.4450867052
11 1.7531556802
107 2.0259319287
139 2.3277467412
395 2.5987525988
692 2.8344671202
785 3.0562347188
965 3.1172069825
1190 4.0983606557
5000 1.5451174289
evaluations raw_y
1 1.1150758252
2 1.2899896801
5 1.3340448239
11 1.4318442153
13 1.7531556802
27 1.9747235387
50 2.1079258010
79 2.1663778163
109 2.3277467412
239 2.5987525988
311 3.3156498674
5000 2.1367521368
evaluations raw_y
1 0.9881422925
2 1.1916110582
4 1.3455328310
8 1.7337031900
46 1.7531556802
49 1.8355359765
52 2.0525451560
185 2.1663778163
188 2.2935779817
198 2.3629489603
296 3.2467532468
502 3.7993920973
971 3.8940809969
1419 3.9936102236
1496 4.0983606557
1730 4.4483985765
5000 2.8868360277
evaluations raw_y
1 1.3116474292
8 1.4863258026
23 1.5923566879
25 1.6778523490
28 1.7730496454
32 2.1079258010
148 2.1968365554
249 2.2281639929
379 2.5150905433
515 2.5987525988
557 2.6881720430
752 2.8868360277
881 3.7993920973
1389 4.3252595156
5000 3.0562347188
evaluations raw_y
1 1.0548523207
3 1.2388503469
5 2.0525451560
14 2.1079258010
17 2.1367521368
359 2.2281639929
503 2.2935779817
585 2.3277467412
593 2.3992322457
638 2.5562372188
706 3.3156498674
869 3.3875338753
916 3.6231884058
1101 3.7993920973
2074 4.5787545788
5000 2.6427061311
evaluations raw_y
1 1.0407993339
2 1.3572204126
7 1.6600265604
10 1.8355359765
11 2.0525451560
118 2.3992322457
792 2.6427061311
1417 3.0562347188
1632 3.2467532468
1912 3.3156498674
2177 3.8940809969
5000 2.3277467412
evaluations raw_y
1 1.2690355330
2 1.5923566879
51 1.9500780031
205 2.3992322457
476 2.5150905433
634 2.6881720430
666 2.8344671202
680 2.9976019185
856 3.3156498674
966 3.3875338753
1081 3.6231884058
1260 3.9936102236
1529 4.2087542088
5000 2.6427061311
evaluations raw_y
1 0.6673785371
2 1.1230907457
8 1.1563367253
9 2.2603978300
38 2.5150905433
574 2.5987525988
785 2.8868360277
904 2.9411764706
5000 1.5151515152
evaluations raw_y
1 0.8626639061
2 1.4060742407
8 1.4188422247
15 1.4863258026
26 1.7934002869
37 1.8142235123
62 2.1663778163
113 2.2281639929
120 2.2603978300
143 2.5562372188
598 2.5987525988
626 2.6427061311
874 3.2467532468
5000 2.3629489603
evaluations raw_y
1 1.5006002401
31 1.6254876463
53 2.0000000000
60 2.1367521368
114 2.1663778163
120 2.2281639929
156 2.3992322457
246 2.4752475248
285 2.5562372188
327 2.7839643653
339 2.9976019185
616 3.2467532468
721 3.5410764873
1419 3.9936102236
1577 4.0983606557
1702 4.2087542088
2558 4.3252595156
2598 4.5787545788
5000 2.6427061311
evaluations raw_y
1 0.7768800497
2 1.1230907457
3 1.5151515152
8 1.5923566879
44 1.8142235123
77 1.8355359765
119 2.1079258010
149 2.1367521368
185 2.1968365554
205 2.5150905433
313 2.5562372188
385 2.6427061311
457 2.7839643653
515 2.8868360277
610 3.2467532468
786 3.3156498674
1657 3.6231884058
1950 3.7993920973
2285 4.2087542088
