evaluations raw_y
1 -335.0000000000
11 -329.0000000000
12 -315.0000000000
14 -242.0000000000
26 -154.0000000000
60 -122.0000000000
67 -95.0000000000
69 -55.0000000000
116 -36.0000000000
134 -35.0000000000
147 -23.0000000000
160 -9.0000000000
197 -2.0000000000
199 6.0000000000
5000 5.0000000000
evaluations raw_y
1 -396.0000000000
2 -335.0000000000
3 -274.0000000000
13 -262.0000000000
20 -254.0000000000
27 -174.0000000000
50 -127.0000000000
69 -101.0000000000
94 -74.0000000000
123 -67.0000000000
124 -60.0000000000
126 -22.0000000000
173 -15.0000000000
190 -3.0000000000
205 -2.0000000000
220 4.0000000000
310 5.0000000000
742 6.0000000000
1213 7.0000000000
5000 6.0000000000
evaluations raw_y
1 -551.0000000000
2 -416.0000000000
3 -369.0000000000
5 -315.0000000000
6 -309.0000000000
28 -188.0000000000
51 -187.0000000000
55 -135.0000000000
74 -55.0000000000
106 -54.0000000000
108 -48.0000000000
114 -42.0000000000
130 -16.0000000000
151 -9.0000000000
175 -3.0000000000
207 3.0000000000
307 4.0000000000
514 5.0000000000
561 6.0000000000
4633 7.0000000000
5000 -14.0000000000
evaluations raw_y
1 -342.0000000000
11 -268.0000000000
39 -235.0000000000
57 -234.0000000000
66 -148.0000000000
67 -141.0000000000
77 -114.0000000000
85 -101.0000000000
91 -81.0000000000
119 -55.0000000000
147 -22.0000000000
189 -15.0000000000
215 -10.0000000000
231 -9.0000000000
260 -2.0000000000
307 2.0000000000
311 3.0000000000
331 4.0000000000
396 5.0000000000
582 6.0000000000
5000 -68.0000000000
evaluations raw_y
1 -490.0000000000
2 -362.0000000000
6 -315.0000000000
7 -268.0000000000
33 -248.0000000000
39 -241.0000000000
45 -227.0000000000
54 -167.0000000000
58 -154.0000000000
71 -134.0000000000
95 -114.0000000000
96 -88.0000000000
107 -48.0000000000
134 -40.0000000000
150 -35.0000000000
156 -16.0000000000
184 -15.0000000000
192 -3.0000000000
204 -1.0000000000
297 3.0000000000
321 4.0000000000
348 5.0000000000
561 6.0000000000
632 7.0000000000
5000 -13.0000000000
evaluations raw_y
1 -490.0000000000
3 -382.0000000000
5 -309.0000000000
27 -295.0000000000
28 -195.0000000000
47 -168.0000000000
53 -155.0000000000
67 -115.0000000000
87 -75.0000000000
113 -61.0000000000
122 -41.0000000000
132 -36.0000000000
147 -29.0000000000
165 -22.0000000000
166 -3.0000000000
241 3.0000000000
276 4.0000000000
400 5.0000000000
1344 6.0000000000
5000 -13.0000000000
evaluations raw_y
1 -409.0000000000
2 -342.0000000000
7 -335.0000000000
12 -255.0000000000
15 -228.0000000000
29 -208.0000000000
37 -201.0000000000
47 -167.0000000000
51 -115.0000000000
72 -102.0000000000
91 -75.0000000000
99 -56.0000000000
106 -55.0000000000
112 -49.0000000000
123 -42.0000000000
127 -29.0000000000
168 -23.0000000000
186 -22.0000000000
193 -5.0000000000
196 -4.0000000000
255 3.0000000000
288 4.0000000000
431 5.0000000000
467 6.0000000000
642 7.0000000000
5000 -13.0000000000
evaluations raw_y
1 -235.0000000000
26 -228.0000000000
29 -180.0000000000
48 -135.0000000000
58 -128.0000000000
68 -122.0000000000
83 -109.0000000000
88 -88.0000000000
114 -81.0000000000
116 -76.0000000000
117 -75.0000000000
128 -68.0000000000
133 -42.0000000000
136 -10.0000000000
190 -4.0000000000
199 2.0000000000
209 3.0000000000
350 4.0000000000
392 6.0000000000
581 7.0000000000
5000 -53.0000000000
evaluations raw_y
1 -517.0000000000
2 -396.0000000000
3 -349.0000000000
17 -342.0000000000
26 -282.0000000000
43 -254.0000000000
60 -248.0000000000
66 -154.0000000000
108 -141.0000000000
118 -108.0000000000
127 -88.0000000000
132 -74.0000000000
148 -68.0000000000
149 -62.0000000000
173 -55.0000000000
175 -48.0000000000
176 -41.0000000000
204 -35.0000000000
209 -16.0000000000
211 -15.0000000000
228 -10.0000000000
233 -9.0000000000
253 -5.0000000000
275 -4.0000000000
280 -3.0000000000
282 2.0000000000
296 3.0000000000
323 5.0000000000
488 6.0000000000
1125 7.0000000000
5000 -20.0000000000
evaluations raw_y
1 -376.0000000000
2 -248.0000000000
26 -154.0000000000
46 -81.0000000000
90 -75.0000000000
98 -68.0000000000
107 -61.0000000000
110 -48.0000000000
126 -42.0000000000
130 -36.0000000000
132 -28.0000000000
167 -3.0000000000
206 3.0000000000
247 4.0000000000
273 5.0000000000
5000 -14.0000000000
evaluations raw_y
1 -524.0000000000
2 -409.0000000000
3 -215.0000000000
28 -187.0000000000
34 -168.0000000000
56 -141.0000000000
60 -135.0000000000
63 -134.0000000000
71 -114.0000000000
78 -94.0000000000
94 -61.0000000000
121 -8.0000000000
171 -3.0000000000
200 3.0000000000
208 5.0000000000
5000 -10.0000000000
evaluations raw_y
1 -315.0000000000
9 -229.0000000000
32 -221.0000000000
48 -187.0000000000
58 -134.0000000000
69 -128.0000000000
88 -101.0000000000
93 -95.0000000000
131 -81.0000000000
142 -68.0000000000
151 -36.0000000000
171 -10.0000000000
201 -4.0000000000
234 -3.0000000000
295 4.0000000000
485 5.0000000000
580 6.0000000000
5000 -20.0000000000
evaluations raw_y
1 -510.0000000000
2 -389.0000000000
3 -376.0000000000
4 -295.0000000000
17 -195.0000000000
21 -187.0000000000
34 -182.0000000000
45 -148.0000000000
46 -127.0000000000
64 -101.0000000000
72 -80.0000000000
87 -67.0000000000
94 -55.0000000000
96 -28.0000000000
118 -14.0000000000
144 -8.0000000000
160 5.0000000000
779 6.0000000000
5000 0.0000000000
evaluations raw_y
1 -504.0000000000
2 -476.0000000000
3 -195.0000000000
27 -167.0000000000
52 -161.0000000000
66 -147.0000000000
67 -120.0000000000
68 -94.0000000000
92 -61.0000000000
115 -34.0000000000
165 -15.0000000000
193 -9.0000000000
205 -2.0000000000
207 4.0000000000
301 5.0000000000
477 6.0000000000
718 7.0000000000
5000 -33.0000000000
evaluations raw_y
1 -235.0000000000
13 -208.0000000000
32 -181.0000000000
37 -115.0000000000
53 -114.0000000000
67 -81.0000000000
83 -55.0000000000
86 -53.0000000000
92 -41.0000000000
103 -15.0000000000
111 -4.0000000000
158 4.0000000000
256 5.0000000000
644 6.0000000000
5000 -88.0000000000
evaluations raw_y
1 -389.0000000000
3 -282.0000000000
15 -221.0000000000
26 -202.0000000000
42 -201.0000000000
44 -174.0000000000
47 -127.0000000000
53 -87.0000000000
61 -61.0000000000
78 -41.0000000000
106 -22.0000000000
114 -16.0000000000
115 -15.0000000000
129 -3.0000000000
139 3.0000000000
158 4.0000000000
434 5.0000000000
3209 6.0000000000
5000 -15.0000000000
evaluations raw_y
1 -517.0000000000
2 -376.0000000000
4 -356.0000000000
23 -329.0000000000
30 -309.0000000000
37 -275.0000000000
49 -235.0000000000
59 -229.0000000000
61 -168.0000000000
84 -162.0000000000
89 -129.0000000000
92 -115.0000000000
118 -109.0000000000
124 -108.0000000000
126 -82.0000000000
140 -75.0000000000
153 -61.0000000000
173 -35.0000000000
185 -23.0000000000
209 -22.0000000000
216 -15.0000000000
228 -9.0000000000
246 -3.0000000000
279 -2.0000000000
284 5.0000000000
422 7.0000000000
5000 -13.0000000000
evaluations raw_y
1 -645.0000000000
2 -335.0000000000
30 -281.0000000000
37 -255.0000000000
47 -248.0000000000
57 -228.0000000000
60 -214.0000000000
66 -181.0000000000
67 -154.0000000000
84 -135.0000000000
86 -88.0000000000
111 -81.0000000000
114 -75.0000000000
115 -74.0000000000
128 -55.0000000000
159 -42.0000000000
167 -36.0000000000
172 -29.0000000000
187 -16.0000000000
198 4.0000000000
430 5.0000000000
494 6.0000000000
5000 -8.0000000000
evaluations raw_y
1 -443.0000000000
3 -329.0000000000
8 -309.0000000000
12 -289.0000000000
27 -248.0000000000
34 -215.0000000000
35 -201.0000000000
37 -195.0000000000
43 -181.0000000000
47 -141.0000000000
71 -134.0000000000
79 -127.0000000000
80 -114.0000000000
93 -87.0000000000
106 -61.0000000000
127 -48.0000000000
149 -21.0000000000
167 -15.0000000000
192 -11.0000000000
197 -8.0000000000
218 -2.0000000000
276 4.0000000000
315 5.0000000000
2869 6.0000000000
5000 -14.0000000000
evaluations raw_y
1 -389.0000000000
3 -315.0000000000
5 -289.0000000000
21 -148.0000000000
26 -121.0000000000
46 -107.0000000000
50 -94.0000000000
54 -81.0000000000
59 -67.0000000000
80 -54.0000000000
97 -47.0000000000
99 -35.0000000000
108 -27.0000000000
126 3.0000000000
177 4.0000000000
243 5.0000000000
330 6.0000000000
5000 5.0000000000
